filename,width,height,class,xmin,ymin,xmax,ymax
nist_r0647_01.png,2560,3300,signature,375,2696,1245,2786
nist_r0647_01.png,2560,3300,signature,468,2799,1220,2916
nist_r0647_01.png,2560,3300,signature,546,2889,1156,3002
gsa_LAL50113-Lease-_Z-03.png,3480,4454,initials,1867,4005,2165,4298
gsa_LAL50113-Lease-_Z-03.png,3480,4454,initials,2192,4010,2420,4328
nist_r0169_01.png,2560,3300,signature,363,2671,1084,2778
nist_r0169_01.png,2560,3300,signature,428,2790,1071,2885
nist_r0169_01.png,2560,3300,signature,526,2915,987,2990
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,signature,2543,3795,2993,4200
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,754,1967,1053,2074
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,1491,1961,1800,2063
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,962,2258,1253,2358
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,744,2180,888,2304
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,1875,2118,2266,2250
gsa_(R)LDC02012-Lease-SF2-04.png,3422,4411,redaction,2608,2292,3062,2460
nist_r0812_01.png,2560,3300,signature,367,2583,1165,2709
nist_r0812_01.png,2560,3300,signature,360,2732,1130,2821
nist_r0812_01.png,2560,3300,signature,499,2789,1259,2931
nist_r0137_01.png,2560,3300,signature,427,2680,1199,2761
nist_r0137_01.png,2560,3300,signature,430,2798,1017,2868
nist_r0805_01.png,2560,3300,signature,312,2611,985,2722
nist_r0805_01.png,2560,3300,signature,401,2715,1163,2835
nist_r0805_01.png,2560,3300,signature,552,2813,1195,2960
nist_r0226_01.png,2560,3300,signature,301,2638,1158,2859
nist_r0233_01.png,2560,3300,signature,330,2651,1252,2748
nist_r0233_01.png,2560,3300,signature,400,2770,1228,2884
nist_r0407_01.png,2560,3300,signature,424,2645,1177,2746
nist_r0407_01.png,2560,3300,signature,435,2758,1216,2849
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,signature,292,3614,1312,3964
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,signature,473,3093,893,3251
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,signature,1785,2972,2764,3292
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,date,443,3984,990,4105
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,date,585,3403,958,3504
gsa_LAL50124-SLA-8-_Z-01.png,3400,4400,date,1963,3397,2344,3535
xtm90c00.png,2400,3150,signature,1278,2196,2095,2547
X_029.jpeg,2240,750,signature,1742,443,2158,619
nist_r0207_01.png,2560,3300,signature,418,2675,1202,2774
nist_r0207_01.png,2560,3300,signature,414,2790,1317,2870
gsa_LAL50038-SLA-4-_Z-02.png,3440,4402,initials,358,3550,534,3742
gsa_LAL50038-SLA-4-_Z-02.png,3440,4402,initials,445,3714,665,3980
aeb95e00.png,2560,3295,signature,1055,2998,1869,3214
nul00a00.png,2504,3105,signature,1443,2687,2288,3026
jfw98c00.png,1728,2292,signature,740,1358,1187,1582
xme03e00.png,2560,3311,signature,1167,2205,1886,2543
tjr72f00-page02_2.png,2544,3253,signature,429,2331,1211,2567
gsa_LAK07326-Lease_Z-03.png,3400,4400,initials,1437,3851,1596,4100
gsa_LAK07326-Lease_Z-03.png,3400,4400,initials,1817,3860,2114,4076
qnj41f00.png,1200,1575,signature,623,743,946,872
gsa_LAK07404-Lease_Z-01.png,3416,4413,signature,1676,2374,2608,2567
gsa_LAK07404-Lease_Z-01.png,3416,4413,signature,385,2302,1590,2752
gsa_LAK07404-Lease_Z-01.png,3416,4413,date,1765,2788,2317,2986
gsa_LAK07404-Lease_Z-01.png,3416,4413,signature,435,3032,1084,3203
gsa_LAK07404-Lease_Z-01.png,3416,4413,date,588,2797,1064,2957
gsa_LAK07404-Lease_Z-01.png,3416,4413,date,537,3364,966,3492
gsa_LAK07404-Lease_Z-01.png,3416,4413,initials,1372,3656,1612,3917
gsa_LAK07404-Lease_Z-01.png,3416,4413,initials,1850,3768,2070,3920
gsa_LAK07287 - Lease Amendment - Executed (LA _ 6 )- Redacted_Redacted-02.png,3400,4399,initials,2081,3546,2612,3860
gsa_LAK07287 - Lease Amendment - Executed (LA _ 6 )- Redacted_Redacted-02.png,3400,4399,initials,2634,3642,2975,3833
xpg81c00.png,1728,2292,signature,243,1606,573,1770
gsa_LAL45056-SLA-14-_Z-01.png,3447,4433,signature,1148,3463,1951,3683
gsa_LAL45056-SLA-14-_Z-01.png,3447,4433,signature,1116,3618,1583,3800
gsa_LAL45056-SLA-14-_Z-01.png,3447,4433,signature,1019,3759,1961,4084
gsa_LAL45056-SLA-14-_Z-01.png,3447,4433,redaction,1551,1686,1907,1773
gsa_LAK07264-Lease_Z-03.png,3400,4400,initials,1347,4042,1549,4171
gsa_LAK07264-Lease_Z-03.png,3400,4400,initials,1863,4065,2145,4212
nist_r0293_01.png,2560,3300,signature,381,2690,1130,2771
nist_r0293_01.png,2560,3300,signature,447,2741,1128,2852
nist_r0010_01.png,2560,3300,signature,446,2659,1293,2773
nist_r0010_01.png,2560,3300,signature,459,2761,1281,2862
nist_r0010_01.png,2560,3300,signature,630,2851,1325,2977
nist_r0831_01.png,2560,3300,signature,391,2637,988,2746
nist_r0831_01.png,2560,3300,signature,386,2752,1184,2838
nist_r0831_01.png,2560,3300,signature,509,2839,1115,2938
nist_r0803_01.png,2560,3300,signature,387,2596,1059,2758
nist_r0803_01.png,2560,3300,signature,506,2826,1030,2971
gsa_LAK07213-SLA-1-_Z-01.png,3400,4400,signature,80,3921,1095,4161
gsa_LAK07213-SLA-1-_Z-01.png,3400,4400,signature,129,3070,1559,3307
gsa_LAK07213-SLA-1-_Z-01.png,3400,4400,signature,338,3461,1228,3623
gsa_LAK07213-SLA-1-_Z-01.png,3400,4400,date,2007,332,2394,498
nist_r0252_01.png,2560,3300,signature,386,2677,1068,2759
nist_r0252_01.png,2560,3300,signature,418,2762,1017,2872
cad45f00-page02_2.png,1200,1575,signature,664,492,1016,618
nist_r0766_01.png,2560,3300,signature,389,2689,1188,2774
nist_r0766_01.png,2560,3300,signature,446,2764,1212,2887
xbn00d00.png,1728,2292,signature,925,1775,1453,1974
nist_r0154_01.png,2560,3300,signature,412,2668,1222,2765
nist_r0154_01.png,2560,3300,signature,601,2880,1184,2989
nist_r0154_01.png,2560,3300,signature,461,2770,1118,2897
X_040.jpeg,2240,1069,signature,1391,632,2002,886
rlf39d00.png,2544,3226,signature,1546,1191,2354,1406
nist_r0622_01.png,2560,3300,signature,427,2638,1290,2759
nist_r0622_01.png,2560,3300,signature,504,2778,1092,2899
gsa_LAL45056-SLA-13-1_Z-01.png,3492,4464,signature,1123,3501,1816,3694
gsa_LAL45056-SLA-13-1_Z-01.png,3492,4464,signature,973,3780,1713,4034
gsa_LAL45056-SLA-13-1_Z-01.png,3492,4464,date,1931,1810,2267,1950
nist_r0413_01.png,2560,3300,signature,436,2663,1117,2757
nist_r0413_01.png,2560,3300,signature,443,2767,1232,2856
nist_r0413_01.png,2560,3300,signature,551,2863,1059,2939
gsa_LAL45056-SLA-16-_Z-01.png,3447,4429,signature,1108,3544,1821,3779
gsa_LAL45056-SLA-16-_Z-01.png,3447,4429,signature,1810,3617,2370,3931
gsa_LAL45056-SLA-16-_Z-01.png,3447,4429,signature,992,3830,1779,4263
nist_r0237_01.png,2560,3300,signature,332,2477,1087,2755
nist_r0237_01.png,2560,3300,signature,346,2750,1128,2864
nist_r0688_01.png,2560,3300,signature,403,2619,974,2732
nist_r0688_01.png,2560,3300,signature,403,2745,1302,2828
nist_r0853_01.png,2560,3300,signature,347,2607,1159,2810
nist_r0246_01.png,2560,3300,signature,319,2625,1304,2747
nist_r0246_01.png,2560,3300,signature,387,2734,936,2855
nist_r0132_01.png,2560,3300,signature,464,2668,1189,2764
nist_r0132_01.png,2560,3300,signature,460,2778,1204,2848
nist_r0132_01.png,2560,3300,signature,588,2851,1517,2957
gsa_LAK07249-Lease-a_Z-03.png,3400,4400,initials,434,3827,634,4200
gsa_LAK07249-Lease-a_Z-03.png,3400,4400,initials,2245,3952,2505,4110
gsa_LAK07249-Lease-a_Z-03.png,3400,4400,redaction,857,851,1456,931
gsa_LAK07249-Lease-a_Z-03.png,3400,4400,redaction,2726,851,3021,924
nist_r0026_01.png,2560,3300,signature,427,2610,1208,2718
